Name,Food Group,Greenhouse gas emissions per kilogram (kgCO2-eq/kg),Calories per kilogram or 1000ml
Yoghurt,Drinks,1.31,885
Walnuts,Nuts,1.51,7000
Eel,Fish,3.88,2358
Dates,Fruits,0.32,2600
Avocados,Fruits,1.3,2000
Lentils,Vegetables,1.03,2870
Potatoes,Vegetables,0.18,1500
Bananas,Fruits,0.86,990
Oats,Cereals,0.38,4700
Grapes,Fruits,0.37,620
Cassava,Vegetables,1.32,1400
Duck,Meats,3.09,3100
Tofu,Vegetables,3.16,1270
Garlic,Vegetables,0.57,1000
Butter,Dairy produce,9.25,7500
Chick peas,Vegetables,0.77,816
Herring,Fish,1.16,2010
Beans,Vegetables,0.43,800
Sunflower seed,Nuts,1.41,6500
Olives,Vegetables,0.63,800
Artichokes,Vegetables,0.48,588
Pumpkins,Vegetables,0.25,520
Wine,Drinks,1.79,820
Cheese,Dairy produce,8.55,4400
Apples,Fruits,0.29,590
Chocolate,Dessert,46.65,5120
Hazelnuts,Nuts,0.97,6430
Beetroot,Vegetables,0.24,464
Pork,Meats,5.77,2900
Mackerel,Fish,1.8,2000
Cowpeas,Vegetables,0.49,440
Quinces,Fruits,0.31,575
Cream,Dairy produce,5.64,2000
Peppers,Vegetables,1.1,423
Raspberries,Fruits,0.84,540
Gooseberries,Fruits,0.84,530
Lamb,Meats,25.58,2690
Salmon,Fish,3.47,1800
Peas,Vegetables,0.38,350
Eggs,Dairy produce,3.46,1460
Swedes,Vegetables,0.29,350
Tangerines,Fruits,0.51,520
Rutabage,Vegetables,0.29,350
Broccoli,Vegetables,0.6,320
Cherries,Fruits,0.39,500
Apricot,Fruits,0.43,460
Figs,Fruits,0.43,460
Pomfret,Fish,6.63,1750
Trout,Fish,4.2,1480
Sesame seed,Nuts,0.88,6000
Tuna,Fish,2.15,1440
Pineapples,Fruits,0.5,400
Chicken,Meats,3.65,2000
Kiwi fruit,Fruits,0.36,390
Ginger,Vegetables,0.88,300
Onion,Vegetables,0.17,290
Pilchard,Fish,1.1,1430
Carp,Fish,1.76,1270
Quinoa,Cereals,1.15,4000
Pears,Fruits,0.31,380
Milk,Drinks,1.29,700
Capsicums,Vegetables,0.66,267
Swordfish,Fish,12.84,1210
Maize/corn,Cereals,0.47,3560
Lobster,Fish,27.8,1000
Carrots,Vegetables,0.2,250
Cauliflowers,Vegetables,0.36,235
Mandarin,Fruits,0.45,339
Grapefruit,Fruits,0.51,320
Cashew nut,Nuts,1.44,5833
Watermelons,Fruits,0.32,306
Asparagus,Vegetables,0.83,220
Fennel,Vegetables,0.48,220
Shrimp,Fish,7.8,1000
Guavas,Fruits,0.28,300
Pistachios,Nuts,1.53,5700
Sea bass,Fish,3.27,1000
Turbot,Fish,14.51,950
Turkey,Meats,7.17,1600
Eggplants,Vegetables,1.35,217
Pollock,Fish,1.6,920
Tomatoes,Vegetables,0.45,200
Orange,Fruits,0.33,300
Rye grain,Cereals,0.38,3380
Almonds,Nuts,1.54,5680
Peaches,Fruits,0.43,300
Wheat,Cereals,0.52,3260
Sole,Fish,20.86,910
Strawberries,Fruits,0.58,300
Barley,Cereals,0.43,3250
Cod,Fish,3.51,900
Mussels,Fish,9.51,900
Peanuts,Nuts,0.83,5667
Rockfish,Fish,6.94,900
Soy-milk,Drinks,0.75,570
Mustard seed,Nuts,2.09,5080
Zucchini,Vegetables,0.21,170
Lemons and limes,Fruits,0.26,270
Soybean,Nuts,0.49,4500
Celery,Vegetables,0.18,150
Whiting,Fish,2.66,900
Cranberries,Fruits,0.92,250
Lettuce,Vegetables,3.7,150
Mushrooms,Vegetables,0.27,150
Hake,Fish,9.77,810
Octopus,Fish,7.13,780
Squid,Fish,7.13,780
Beef,Meats,26.61,1980
Chestnuts,Nuts,0.43,2240
Rockmelon,Fruits,0.25,200
Rice,Cereals,2.55,1400
Anglerfish,Fish,12.29,750
Coffee,Drinks,28.53,320
Almond milk,Drinks,0.42,264
Cucumber,Vegetables,0.23,100
Coconut milk,Drinks,0.42,264
Haddock,Fish,3.41,740
Spinach,Vegetables,0.54,80
